0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:54:12 +0900] "GET /javascript_jquery_project_01/chapter16/test/test_02.html HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:54:12 +0900] "GET /javascript_jquery_project_01/jQuery/jquery-3.5.1.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:54:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:54:12 +0900] "GET /javascript_jquery_project_01/chapter16/test/test_02.html HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:54:12 +0900] "GET /javascript_jquery_project_01/jQuery/jquery-3.5.1.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:54:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:55:51 +0900] "GET /javascript_jquery_project_01/chapter16/test/test_02.html HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:55:51 +0900] "GET /javascript_jquery_project_01/chapter16/test/test_02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:55:52 +0900] "GET /javascript_jquery_project_01/chapter16/test/test_02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:55:52 +0900] "GET /javascript_jquery_project_01/chapter16/test/test_02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:55:52 +0900] "GET /javascript_jquery_project_01/chapter16/test/test_02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:55:57 +0900] "GET /javascript_jquery_project_01/chapter16/test/test_02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:55:58 +0900] "GET /javascript_jquery_project_01/chapter16/test/test_02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:55:58 +0900] "GET /javascript_jquery_project_01/chapter16/test/test_02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:56:18 +0900] "GET /javascript_jquery_project_01/chapter16/test/test_02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:56:19 +0900] "GET /javascript_jquery_project_01/chapter16/test/test_02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:56:19 +0900] "GET /javascript_jquery_project_01/chapter16/test/test_02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:56:30 +0900] "GET /javascript_jquery_project_01/chapter16/test/test_02.html HTTP/1.1" 200 1209
0:0:0:0:0:0:0:1 - - [19/Nov/2020:09:56:31 +0900] "GET /javascript_jquery_project_01/chapter16/test/test_02.html HTTP/1.1" 304 -
